name,city,day,latitude,longitude,note
Un-Yang-Kor-Dai 泰式料理,Singapore,SIN D02,,,13:15 已預訂；泰式料理
99 老樹榴槤甜品,Singapore,SIN D02,,,15:00；榴槤甜品
Golden Mile Thien Kee 雞飯,Singapore,SIN D02,,,16:00；Golden Mile 一帶
Lexus Durian King,Singapore,SIN D02,,,18:00；Kovan 站附近；現場買榴槤
Riverside Market,Christchurch,NZ D01,-43.5307,172.6391,市中心食物市集；各國料理；晚餐
Little High Eatery,Christchurch,NZ D01,-43.5335,172.6369,美食廣場；有機・素食・手工啤酒
Akaroa 法式小鎮,Akaroa,NZ D02,-43.8049,172.9681,班克斯半島法式殖民小鎮
Shamarra Alpacas 羊駝農場,Akaroa,NZ D02,,,市區約 15 分車程；拍照體驗 45–60 分
Ma France 法式麵包烘焙,Akaroa,NZ D02,,,Rue Lavaud；午餐選擇
Botanic Gardens 植物園,Christchurch,NZ D03,-43.5291,172.6259,免費入場；花卉溫室；1–1.5 小時
Canterbury Museum,Christchurch,NZ D03,-43.5292,172.6265,免費入場；毛利文化 + 南極展；1–1.5 小時
Christchurch Arts Centre,Christchurch,NZ D03,-43.5296,172.6263,週末市集；工藝品；30–45 分
Cathedral Square / Re:START,Christchurch,NZ D03,-43.5316,172.6388,大教堂廣場；貨櫃商店街；30–45 分
Bridge of Remembrance,Christchurch,NZ D03,-43.5310,172.6376,一戰紀念拱橋；20 分
Christchurch Gondola,Christchurch,NZ D03,-43.5725,172.6956,纜車；俯瞰 Heathcote Valley
Willowbank Wildlife Reserve,Christchurch,NZ D03,-43.4772,172.5773,奇異鳥；NZD 36.5
Recycle Boutique,Christchurch,NZ D03,-43.5197,172.6359,NZ 最大二手連鎖；Colombo St；30–45 分
Curator's House 餐廳,Christchurch,NZ D03,-43.5284,172.6255,植物園旁；露天精緻午茶
Castle Hill / Kura Tāwhiti,Arthur's Pass,NZ D04,-43.1993,171.7188,石灰岩怪石群；免費；30 分
Arthur's Pass 山口村,Arthur's Pass,NZ D04,-42.9488,171.5636,穿越南阿爾卑斯山脈；午餐咖啡廳
Shantytown Heritage Park,Greymouth,NZ D04,-42.4450,171.2044,淘金時代遺跡；蒸汽火車；換裝拍照；2–3 小時
Glow Worm Dell,Greymouth,NZ D04,-42.4539,171.2087,市區步行可達；夜間螢火蟲洞；30 分
Hokitika Gorge,Hokitika,NZ D04,-42.8136,170.9554,翡翠藍峽谷；⚠️ 繞路約 1 小時
Hokitika Beach,Hokitika,NZ D05,-42.7228,170.9712,彩虹字樣海灘；翡翠文化；30 分
Lake Matheson 鏡湖,Fox Glacier,NZ D05,-43.4659,169.9497,映照庫克山；早晨最美；環湖步道 1 小時
Fox Glacier 小鎮,Fox Glacier,NZ D05,-43.4604,169.9291,樸實安靜；散策 30–45 分
Franz Josef 冰河村,Franz Josef,NZ D05,-43.3899,170.1823,冰河直升機出發點；約 NZD 800/人
Blue Pools 藍池,Makarora,NZ D06,-44.0671,169.3447,碧藍冰河水；停車後步行 ~20 分；來回 45–60 分
Knights Point 海岸觀景台,Haast,NZ D06,-43.7842,168.7502,海岸景觀台；停留 15–20 分
Wanaka Tree,Wanaka,NZ D06,-44.6889,169.1449,湖中孤樹；日落時段最美；20–30 分
Beacon Point,Wanaka,NZ D07,-44.7011,169.1243,08:30 出發前湖景拍攝；20–30 分
Glendhu Bay,Wanaka,NZ D07,-44.7272,169.0625,寂靜灣景；SH6 路上；15 分
Lake Pukaki 普卡基湖,Mt Cook,NZ D07,-44.0221,170.1573,蔚藍湖色；停車拍照；15–20 分
Hooker Valley Track 入口（White Horse Hill）,Mt Cook,NZ D07,-43.7285,170.1051,來回 2–3 小時；冰河湖・Mt Cook 正面・吊橋景觀
Church of the Good Shepherd,Tekapo,NZ D07,-44.0087,170.4784,善牧教堂；黃昏最美
Tekapo Springs 湖畔溫泉,Tekapo,NZ D07,-44.0046,170.4826,蒂卡波湖畔溫泉
Mt John Observatory 天文台,Tekapo,NZ D07,-44.0053,170.4622,黑暗天空保護區；銀河清晰；晴天首選
Elephant Rocks 象石,Duntroon,NZ D08,-44.8639,170.6726,石灰岩群；《納尼亞傳奇》取景地；免費；20 分
Moeraki Boulders 摩拉基巨石,Moeraki,NZ D08,-45.3360,170.8253,海灘圓形巨石；NZD 5；落潮時最佳；20–30 分
Oamaru Harbour Historic Precinct,Oamaru,NZ D08,-45.0944,170.9756,維多利亞風格石灰岩建築街區；1–1.5 小時
Steampunk HQ,Oamaru,NZ D08,-45.0948,170.9762,蒸汽龐克博物館；45 分
Bushy Beach,Oamaru,NZ D08,-45.1042,170.9635,黃眼企鵝棲息地；黃昏前抵達；免費；禁止靠近
Blue Penguin Colony,Oamaru,NZ D08,-45.0970,170.9670,藍眼企鵝保護區；傍晚點名；約 NZD 45–65
Scotts Brewing Co.,Oamaru,NZ D08,-45.0951,170.9762,Harbour Street；精釀啤酒（午餐）
Dunedin Railway Station,Dunedin,NZ D09,-45.8752,170.5020,蘇格蘭巴洛克建築；30 分
Baldwin Street,Dunedin,NZ D09,-45.8543,170.5293,全球最陡住宅街道之一；20 分
Octagon 市中心廣場,Dunedin,NZ D09,-45.8745,170.5046,市中心廣場；30–45 分
Otago Peninsula（Taiaroa Head）,Dunedin,NZ D09,-45.7711,170.7316,企鵝・信天翁；2–3 小時
Te Anau 蒂阿瑙,Te Anau,NZ D10,-45.4148,167.7190,Milford Sound 前一晚基地；早休息
Redcliff Café,Te Anau,NZ D10,-45.4132,167.7176,Te Anau 特色餐廳；建議訂位（晚餐）
Kiwi Country（GreatSights 集合點）,Te Anau,NZ D11,-45.4162,167.7164,Miro 街 2 號；09:45 大巴出發
Mirror Lakes 鏡湖,Milford Road,NZ D11,-45.0267,168.0137,途中停留；大巴途徑
Homer Tunnel 荷馬隧道,Milford Road,NZ D11,-44.7625,168.0059,途中景觀；單線隧道
Milford Sound 米佛峽灣,Milford Sound,NZ D11,-44.6398,167.9269,登船遊覽；Stirling / Bowen 瀑布；千仞峭壁
Crown Range Road 瞭望點,Queenstown,NZ D12,-44.9190,168.8035,紐西蘭最高公路；⚠️ 冬季留意路況
Deer Park Heights,Queenstown,NZ D12,-45.0342,168.7420,360° 全景俯瞰 Wakatipu 湖；皇后鎮東側
Onsen Hot Pools 溫泉,Queenstown,NZ D12,-45.0249,168.6706,約 NZD 55–75 成人
Skyline Gondola 天際線纜車,Queenstown,NZ D12,-45.0264,168.6640,俯瞰 Lake Wakatipu；纜車 + 景觀餐廳
Fergburger,Queenstown,NZ D12,-45.0313,168.6624,皇后鎮名物漢堡；21:00 後排隊較短
